system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,latitude,lavouras,longitude,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mapbiomas_v001_1984,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
00000000000000000026,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,1,2,1,0,0,2,0,0,5,3,1985,20,123,10,96.5,0,22.68,2.98,76,62,53,3.63,-14,-24,125.79,ctb0832-114,-21,154,4666,0,0,0,0,16733,0,7316,0,1,0,0,0,1,0,0,0,31.225675555758485,54.00837045707741,14.765953987164101,41,0,0,0,14,-1,0,168,20,-4,55,0,53,0,0,21,158,0,1985,"{""type"":""Point"",""coordinates"":[-42.11674900102378,-21.7332572154004]}"
00000000000000000027,0,1,0,0,0,0,0,28,0,1,0,0,0,0,0,0,2,1,0,0,3,0,0,3,3,1985,20,126,9,96.5,0,22.68,2.98,91,92,54,3.63,-41,-32,125.79,ctb0832-115,14,135,3135,-4,0,0,0,16499,0,7400,0,1,0,0,0,1,0,0,0,32.17477718770439,52.239741848407995,15.58548096388761,44,0,0,-6,15,-14,0,181,20,7,55,0,62,-6,0,23,175,0,1985,"{""type"":""Point"",""coordinates"":[-42.20002271319689,-21.499872325364095]}"
00000000000000000028,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,8,1,0,0,4,0,0,3,5,1985,20,120,14,96.5,0,22.68,2.98,81,72,51,3.63,23,8,125.79,ctb0832-118,7,194,1433,2,0,0,0,16266,0,7349,0,1,0,0,0,1,0,0,0,30.886683990360968,48.271464701425494,20.84185130821354,45,20,0,2,17,3,0,181,0,-10,53,0,23,2,0,8,176,4,1985,"{""type"":""Point"",""coordinates"":[-42.1498979582551,-21.266759440492052]}"
00000000000000000029,0,1,0,0,0,0,0,30,0,1,0,0,0,0,0,1,3,1,0,0,3,0,0,3,7,1985,20,129,10,96.5,0,22.68,2.98,177,86,44,3.63,13,-16,125.79,ctb0832-140,1,13,4779,0,0,0,0,16683,0,6733,0,1,0,0,0,1,0,0,0,35.692855092031,44.32019368393546,19.986951224033543,43,0,0,0,17,3,0,162,20,-2,57,0,16,0,0,4,254,0,1985,"{""type"":""Point"",""coordinates"":[-41.53329346458462,-21.683400006521822]}"
0000000000000000002a,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,6,1,0,0,1,0,0,6,4,1985,20,127,12,96.5,0,22.68,2.98,108,109,60,3.63,34,-10,125.79,ctb0832-145,-13,120,5128,0,0,0,0,16783,0,7200,0,1,0,0,0,1,0,0,0,33.43086775645686,50.26614408975168,16.302988153791464,45,0,0,0,19,10,0,167,20,-7,56,0,46,0,0,18,199,0,1985,"{""type"":""Point"",""coordinates"":[-42.00005878555616,-21.783381970342187]}"
0000000000000000002b,0,1,0,0,0,0,0,26,0,1,0,0,0,0,0,1,8,1,0,0,4,0,0,6,5,1985,20,121,12,96.5,0,22.68,2.98,91,90,40,3.63,-3,32,125.79,ctb0832-E-Rio-109,0,85,1545,0,0,0,0,16700,0,7366,0,1,0,0,0,1,0,0,0,20.565425489815873,60.885718546874976,18.54885596330916,38,0,0,1,14,-1,0,177,20,-11,54,0,20,0,0,6,186,5,1985,"{""type"":""Point"",""coordinates"":[-42.16660620990237,-21.700108258169085]}"
0000000000000000002d,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,1,7,1,0,0,2,0,0,2,3,1985,20,122,16,96.5,0,22.68,2.98,110,130,48,3.63,16,59,125.79,ctb0832-E-Rio-98,2,120,1431,0,0,0,0,16549,0,7500,0,1,0,0,0,1,0,0,0,22.50846047514866,48.41452146277124,29.07701806208011,44,20,0,0,18,-2,0,168,0,-7,54,0,15,0,0,3,194,23,1985,"{""type"":""Point"",""coordinates"":[-42.30000467701726,-21.55000153940694]}"
00000000000000000034,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,4,6,1985,20,126,10,96.5,0,22.68,2.98,134,76,56,3.63,1,27,125.79,ctb0832-143,-7,44,1102,0,0,0,0,16666,0,6750,0,1,0,0,0,1,0,0,0,37.91306615973528,48.32127805155855,13.765655788706146,47,0,0,0,17,-3,0,183,20,-13,56,0,29,0,0,8,219,5,1985,"{""type"":""Point"",""coordinates"":[-41.55000171623187,-21.66669175487456]}"
00000000000000000035,0,1,0,0,0,0,0,18,0,1,0,0,0,0,0,1,7,1,0,0,2,0,0,2,1,1985,20,123,14,96.5,0,22.68,2.98,96,96,44,3.63,29,8,125.79,ctb0832-147,5,136,1959,0,0,0,0,16816,0,7383,0,1,0,0,0,1,0,0,0,27.7330991862641,54.271806305826644,17.995094507909265,47,0,0,0,17,2,0,166,20,-4,55,0,17,0,0,6,211,1,1985,"{""type"":""Point"",""coordinates"":[-42.183314461549635,-21.81679847363671]}"
00000000000000000037,0,1,0,0,0,0,0,26,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,4,1985,20,122,9,96.5,0,22.68,2.98,94,113,68,3.63,25,-5,125.79,ctb0832-E-Rio-102,-4,159,1739,0,0,0,0,16649,0,7483,0,1,0,0,0,1,0,0,0,31.63732290846677,53.8611391825649,14.501537908968325,44,0,0,0,16,9,0,202,20,-1,55,0,31,0,0,10,188,0,1985,"{""type"":""Point"",""coordinates"":[-42.28329642536999,-21.6499835032273]}"
00000000000000000040,0,1,0,0,0,0,0,31,0,1,0,0,0,0,0,0,7,1,0,0,1,0,0,5,1,1986,21,125,14,96.5,0,22.68,2.98,89,90,58,3.63,1,-34,125.79,ctb0832-187,19,222,758,-1,0,0,0,16050,0,7200,0,1,0,0,0,1,0,0,0,35.21974400049563,47.76300943494908,17.017246564555283,52,0,0,-2,15,33,0,200,21,7,55,0,108,-2,0,42,193,0,1986,"{""type"":""Point"",""coordinates"":[-42.00005878555617,-21.050087261204066]}"
00000000000000000043,0,1,0,0,0,0,0,30,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,4,1,1986,21,123,11,96.5,0,22.68,2.98,97,107,65,3.63,-11,-28,125.79,ctb0832-208,10,162,1278,0,0,0,0,16433,0,7000,0,1,0,0,0,1,0,0,0,31.957787248391277,48.664894354130716,19.377318397477993,47,0,0,-1,16,-24,0,196,21,0,56,0,73,-1,0,28,209,0,1986,"{""type"":""Point"",""coordinates"":[-41.800090398814376,-21.433306864838258]}"
00000000000000000045,0,1,0,0,0,0,0,39,0,1,0,0,0,0,0,0,5,1,0,0,1,0,0,4,2,1986,21,120,12,96.5,0,22.68,2.98,86,71,46,3.63,3,4,125.79,ctb0064-14328,6,188,1948,0,0,0,0,16250,0,7336,0,1,0,0,0,1,0,0,0,31.6715699980414,50.48419795172876,17.844232050229834,42,0,0,0,15,-5,0,182,21,-13,53,0,30,0,0,8,184,0,1986,"{""type"":""Point"",""coordinates"":[-42.13642255487159,-21.250051188844797]}"
00000000000000000052,0,1,0,0,0,0,0,16,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,3,4,1986,21,125,12,96.5,0,22.68,2.98,143,53,56,3.63,27,-2,125.79,ctb0832-153,1,106,1465,-1,0,0,0,16283,0,6933,0,1,0,0,0,1,0,0,0,30.740177002964497,55.13495307985746,14.12486991717804,42,0,0,-2,15,6,0,168,21,-3,58,0,22,-1,0,7,175,0,1986,"{""type"":""Point"",""coordinates"":[-41.73325739222533,-21.28320014607611]}"
00000000000000000053,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,5,1,0,0,4,0,0,6,2,1986,21,123,15,96.5,0,22.68,2.98,96,90,73,3.63,15,-25,125.79,ctb0832-154,-4,283,2479,1,0,0,0,16150,0,6916,0,1,0,0,0,1,0,0,0,40.02353299786694,43.5745797646135,16.401887237519563,49,0,0,3,15,30,0,226,21,-10,56,0,76,1,0,32,173,0,1986,"{""type"":""Point"",""coordinates"":[-41.71654914057807,-21.150069225024424]}"
00000000000000000055,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,2,1,0,0,5,0,0,3,6,1986,21,125,9,96.5,0,22.68,2.98,139,74,51,3.63,37,43,125.79,ctb0832-168,-2,99,4118,0,0,0,0,16216,0,7049,0,1,0,0,0,1,0,0,0,32.282659869379756,45.041280695383186,22.676059435237054,41,0,0,1,14,-1,0,170,21,-15,56,0,25,0,0,4,158,9,1986,"{""type"":""Point"",""coordinates"":[-41.849947607692954,-21.216634685550268]}"
00000000000000000057,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,5,1,0,0,1,0,0,4,1,1986,21,125,21,96.5,0,22.68,2.98,112,113,53,3.63,14,-21,125.79,ctb0832-179,-28,330,2400,0,0,0,0,16033,0,7133,0,1,0,0,0,1,0,0,0,37.410953291430964,42.004045917503575,20.58500079106546,52,0,0,0,17,22,0,183,21,-1,54,0,106,0,0,39,235,0,1986,"{""type"":""Point"",""coordinates"":[-41.933221319866064,-21.033379009556803]}"
00000000000000000059,0,1,0,0,0,0,0,13,0,1,0,0,0,0,0,0,4,1,0,0,2,0,0,3,6,1986,21,121,18,96.5,0,22.68,2.98,84,97,58,3.63,18,-18,125.79,ctb0832-184,29,154,3400,-1,0,0,0,16166,0,7000,0,1,0,0,0,1,0,0,0,30.68300608324826,50.02698337456035,19.29001054219139,49,0,0,-3,16,1,0,199,21,-11,54,0,74,-3,0,30,202,0,1986,"{""type"":""Point"",""coordinates"":[-41.800090398814376,-21.16677747667169]}"
0000000000000000005b,0,1,0,0,0,0,0,33,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,3,3,1986,21,123,9,96.5,0,22.68,2.98,83,56,56,3.63,10,-27,125.79,ctb0832-198,15,207,1584,0,0,0,0,16099,0,7266,0,1,0,0,0,1,0,0,0,36.67704793990833,45.052259075700206,18.270692984391463,43,0,0,-1,14,-4,0,201,21,0,53,0,43,0,0,17,161,0,1986,"{""type"":""Point"",""coordinates"":[-42.06662424608201,-21.099944470082644]}"
0000000000000000005d,0,1,0,0,0,0,0,24,0,1,0,0,0,0,0,0,3,1,0,0,5,0,0,2,4,1986,21,125,10,96.5,0,22.68,2.98,94,79,50,3.63,20,-2,125.79,ctb0832-203,6,143,2165,0,0,0,0,16316,0,7149,0,1,0,0,0,1,0,0,0,22.937567188709394,54.19879027617793,22.863642535112678,43,0,0,0,15,-3,0,174,21,-4,55,0,20,0,0,7,197,0,1986,"{""type"":""Point"",""coordinates"":[-41.94992957151332,-21.31661664937063]}"
0000000000000000005e,0,1,0,0,0,0,0,31,0,1,0,0,0,0,0,0,12,1,0,0,2,0,0,5,2,1986,21,123,16,96.5,0,22.68,2.98,101,89,52,3.63,21,-22,125.79,ctb0832-204,-16,178,1316,-2,0,0,0,16283,0,7083,0,1,0,0,0,1,0,0,0,28.489387438005725,51.913806651714836,19.596805910279443,44,0,0,-4,16,-4,0,173,21,-4,56,0,44,-3,0,18,196,0,1986,"{""type"":""Point"",""coordinates"":[-41.883364110987486,-21.283200146076112]}"
0000000000000000005f,0,1,0,0,0,0,0,24,0,1,0,0,0,0,0,0,5,1,0,0,2,0,0,3,2,1986,21,122,12,96.5,0,22.68,2.98,114,73,68,3.63,44,-4,125.79,ctb0832-206,-7,239,1476,0,0,0,0,16416,0,7100,0,1,0,0,0,1,0,0,0,31.79636212721758,50.96791663952121,17.235721233261213,43,0,0,0,15,-3,0,184,21,-10,55,0,33,0,0,10,176,0,1986,"{""type"":""Point"",""coordinates"":[-41.9000768217358,-21.416598613190995]}"
00000000000000000060,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,5,1,0,0,2,0,0,3,3,1986,21,123,7,96.5,0,22.68,2.98,106,77,54,3.63,-1,-28,125.79,ctb0832-211,-22,132,6044,0,0,0,0,16266,0,7000,0,1,0,0,0,1,0,0,0,33.698765806381985,51.50616784375261,14.795066349865404,44,0,0,0,15,17,0,162,21,-8,58,0,84,0,0,29,195,0,1986,"{""type"":""Point"",""coordinates"":[-41.80009039881438,-21.266759440492052]}"
00000000000000000061,0,1,0,0,0,0,0,21,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,7,5,1986,21,125,6,96.5,0,22.68,2.98,142,66,58,3.63,22,-4,125.79,ctb0832-220,4,65,3077,1,0,0,0,16450,0,6783,0,1,0,0,0,1,0,0,0,32.70074305042927,54.06885608652061,13.230400863050118,42,0,0,2,16,0,0,179,21,-1,59,0,9,1,0,4,171,0,1986,"{""type"":""Point"",""coordinates"":[-41.58341821952639,-21.450015116485517]}"
