system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,lavouras,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mapbiomas_v001_1984,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
0_00000000000000002504_0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,1,4,1,0,0,4,0,0,8,3,1985,20,131,9,96.5,0,22.68,2.98,141,75,93,3.63,39,-13,125.79,ctb0832-133,-2,36,2271,0,0,0,0,0,0,1,0,0,0,1,0,0,0,37.58221747575,48.23299779366865,14.184784730581343,44,0,0,0,14,21,0,233,20,-13,57,0,54,0,0,22,175,3,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.53329275091662,-21.600125753946507]}"
0_00000000000000002506_0,0,1,0,0,0,0,0,31,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,4,2,1985,20,123,15,96.5,0,22.68,2.98,121,113,38,3.63,-25,-26,125.79,ctb0832-135,15,302,3367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38.48019373594524,43.92077630979922,17.599029954255535,44,0,0,1,20,15,0,154,20,2,56,0,64,0,0,22,228,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.866657552853376,-21.70010824506901]}"
0_00000000000000002507_0,0,1,0,0,0,0,0,32,0,1,0,0,0,0,0,0,7,1,0,0,3,0,0,5,3,1985,20,122,10,96.5,0,22.68,2.98,83,85,52,3.63,-5,-27,125.79,ctb0832-136,15,97,2726,1,0,0,0,0,0,1,0,0,0,1,0,0,0,30.14163202307447,53.049076690456,16.809291286469534,42,0,0,1,14,6,0,177,20,8,55,0,48,1,0,17,167,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.00005737254512,-21.74996474333765]}"
0_00000000000000002508_0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,5,1,0,0,3,0,0,2,8,1985,20,125,10,96.5,0,22.68,2.98,106,58,70,3.63,38,-11,125.79,ctb0832-137,-4,76,2249,0,0,0,0,0,0,1,0,0,0,1,0,0,0,35.35596085639469,49.26645592244896,15.37758322115635,43,0,0,-1,13,6,0,203,20,-18,56,0,33,0,0,8,169,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.94993137969125,-21.616564923645896]}"
0_00000000000000002513_0,0,1,0,0,0,0,0,30,0,1,0,0,0,0,0,0,4,1,0,0,2,0,0,3,3,1985,20,123,20,96.5,0,22.68,2.98,107,79,55,3.63,-7,-30,125.79,ctb0832-149,27,168,2071,0,0,0,0,0,0,1,0,0,0,1,0,0,0,33.31666703342108,49.957409113104234,16.725923853474686,46,0,0,0,16,18,0,184,20,2,54,0,96,0,0,35,193,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.133457192236875,-21.866655898744774]}"
0_00000000000000002564_0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,1,1,1,0,0,9,0,0,6,19,1985,20,123,10,78.54,0,18.46,2.98,181,47,48,3.77,22,17,103.74,ctb0832-E-Rio-107,0,2,2117,-2,0,0,0,0,0,1,0,0,0,1,0,0,0,25.117736129804513,55.28059593947033,19.60166793072516,131,20,0,-4,23,0,0,170,0,0,58,0,0,-4,0,0,261,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.21673101907475,-22.550094166902902]}"
0_00000000000000002509_0,0,1,0,0,0,0,0,13,0,0,0,0,1,0,0,1,3,1,0,0,2,0,0,7,0,1985,0,105,24,140.0,0,32.9,2.98,112,89,23,7.0,14,38,182.88,ctb0832-138,6,962,3140,0,0,20,0,0,1,0,0,1,0,0,0,0,1,31.46635832229971,50.128198794049126,18.40544288365116,64,0,20,1,27,-5,0,143,0,-21,50,0,44,0,0,11,310,22,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.833240224284125,-21.833238570175524]}"
0_00000000000000000e8a_0,0,1,0,0,0,0,0,26,0,1,0,0,0,0,0,0,6,1,0,0,4,0,0,7,1,1985,20,125,16,96.5,0,22.68,2.98,126,104,57,3.63,16,9,125.79,ctb0064-14279,-6,116,1759,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32.267357722936836,49.3320760356343,18.40056624142886,44,0,0,2,16,6,0,169,20,-16,57,0,40,0,0,11,219,2,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.787695639379265,-21.660223046454107]}"
0_000000000000000024f1_0,0,1,0,0,0,1,0,44,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,2,4,1985,20,120,25,75.1,0,17.65,2.98,118,90,40,3.76,22,-6,99.48,ctb0832-103,6,552,5392,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,37.858185521637836,45.43200819452105,16.709806283841104,43,20,0,-2,18,-15,0,168,0,-17,52,0,62,-2,0,17,196,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.65007831213401,-22.083329545274403]}"
0_000000000000000024f2_0,0,0,0,0,0,1,0,42,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,3,1,1985,20,115,29,75.1,0,17.65,2.98,127,105,46,3.76,0,-31,99.48,ctb0832-104,-10,675,2678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.25015548173415,41.71951634134633,18.03032817691953,46,0,0,-2,19,27,0,178,20,1,50,0,85,-1,0,31,232,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.65007831213401,-22.116746873843645]}"
